Usuario,¿Cuánto Tiempo?,¿Dónde Salió?,¿Dónde Fue?,Sexo,Edad
493545,0h 14min 23seg,Castillo,Castillo,F,16
492620,0h 38min 12seg,Usina del Arte,Usina del Arte,F,16
470893,0h 41min 8seg,Guardia Vieja,Juan Manuel Blanes,F,16
499307,0h 58min 49seg,Macacha Güemes,Macacha Güemes,F,16
500994,0h 38min 23seg,Macacha Güemes,Macacha Güemes,F,16
500994,0h 24min 48seg,Macacha Güemes,Julieta Lanteri,F,16
424111,0h 5min 49seg,Guatemala,Guatemala,F,16
498131,0h 37min 11seg,Plaza Vicente López,Plaza Vicente López,F,16
393339,0h 23min 3seg,Yatay,Yatay,F,16
393339,0h 8min 30seg,Yatay,Gallo,F,16
424111,0h 19min 36seg,Costa Rica,Guatemala,F,16
499048,0h 13min 15seg,Armenia,Godoy Cruz y Libertador,F,16
424111,0h 48min 1seg,Armenia,Planetario,F,16
424111,0h 54min 50seg,Armenia,Zoológico,F,16
489923,0h 42min 31seg,Ugarteche,Ministerio de Educacion,F,16
424111,0h 18min 4seg,Velasco,Parque Centenario,F,16
493019,0h 43min 19seg,Once,Castro y Mexico,F,16
434609,0h 50min 53seg,Nicaragua,Godoy Cruz y Libertador,F,16
468404,0h 57min 16seg,Nicaragua,Godoy Cruz y Libertador,F,16
495758,0h 43min 0seg,Don Bosco,Hospital Italiano,F,16
495758,1h 8min 8seg,Virrey Liniers,Don Bosco,F,16
501273,1h 32min 37seg,Pacífico,Plaza Alemania,F,16
470893,0h 13min 7seg,Vera Peñaloza,Vera Peñaloza,F,16
414362,0h 40min 47seg,Vera Peñaloza,Aime Paine,F,16
506744,0h 53min 48seg,Aime Paine,Juana Manso,F,16
492620,0h 43min 49seg,Julieta Lanteri,Julieta Lanteri,F,16
500994,0h 28min 47seg,Julieta Lanteri,Azucena Villaflor,F,16
552072,1h 7min 41seg,Facultad de Medicina,Hospital Alemán,M,22
552233,0h 23min 31seg,Parque Lezama,Hospital Francés,M,51
426214,1h 6min 57seg,Instituto Leloir,Malabia,M,19
139790,1h 5min 42seg,Cementerio de la Recoleta,Peña,F,29
357348,1h 6min 18seg,Ministerio de Justicia y Seguridad,Pinzon y M. Rodriguez,M,35
546274,0h 54min 24seg,Plaza Palermo Viejo,Rivarola,M,27
46923,1h 5min 40seg,Acuña de Figueroa,Billinghurst y Mansilla,M,27
462491,0h 47min 29seg,Plaza Monseñor Miguel De Andrea,Plaza Monseñor Miguel De Andrea,M,25
363611,0h 16min 29seg,Nicaragua,Arenales y Aguero,M,26
83706,0h 10min 35seg,Congreso II,San Luis y Ecuador,M,30
428527,0h 37min 36seg,Marcelo T. de Alvear,Pacífico,F,30
151071,0h 24min 26seg,Acuña de Figueroa,Virrey Cevallos,M,26
200815,0h 23min 0seg,Pasco,Pasco,M,24
392915,1h 3min 35seg,Plaza Monseñor Miguel De Andrea,Pueyrredón,F,17
84159,1h 6min 59seg,Billinghurst y Mansilla,Acuña de Figueroa,M,27
323685,1h 7min 40seg,Humahuaca,Hospital Italiano,F,47
213621,0h 12min 0seg,Guayaquil,EEUU y Boedo,M,37
564709,1h 28min 31seg,Estados Unidos,Congreso,F,23
1743,1h 5min 32seg,Arenales y Aguero,Billinghurst,F,79
174746,0h 26min 48seg,Peña,Instituto Leloir,M,30
374327,0h 9min 57seg,Gallo,Lerma,M,27
374091,0h 27min 11seg,Peña,Pueyrredón,M,21
565445,0h 22min 19seg,Arenales,Arenales,M,39
177209,1h 5min 47seg,Facultad de Derecho,Posadas,M,22
175238,0h 42min 32seg,F. J. Santamaría de Oro,Pacífico,M,23
377484,0h 14min 33seg,Guayaquil,Parque Centenario,M,26
534795,1h 57min 0seg,Federico Lacroze,Plaza Italia,M,29
76096,0h 14min 22seg,Guayaquil,Parque Centenario,F,27
514095,0h 9min 10seg,Riobamba,Marcelo T. de Alvear,M,22
553203,0h 22min 18seg,Plaza Palermo Viejo,Plaza Boedo,M,21
555446,0h 20min 20seg,Arenales y Aguero,Riobamba,M,23
547453,1h 6min 49seg,Julieta Lanteri,Azucena Villaflor,M,28
476541,0h 15min 19seg,Rincón,Salcedo,M,36
400739,1h 55min 36seg,Estados Unidos,Congreso,F,23
313112,0h 8min 26seg,Acuña de Figueroa,Plaza Almagro,M,28
439062,0h 14min 51seg,Peña,Ecuador,M,44
429479,0h 55min 17seg,Facultad de Derecho,Congreso,M,30
439591,0h 23min 4seg,Pacífico,Padilla,M,30
187583,0h 17min 47seg,Esmeralda,Agüero,M,30
468944,0h 34min 22seg,Zoológico,Plaza Güemes,F,30
476327,0h 16min 17seg,Solis y Alsina,Guardia Vieja,F,30
246218,0h 43min 34seg,Bouchard,Las casas,M,30
238076,0h 45min 24seg,Zoológico,Zoológico,F,30
24792,1h 6min 5seg,Armenia,Juncal,M,30
58018,0h 12min 59seg,Saavedra,Plaza Garay,M,30
100367,0h 28min 48seg,Quintana,Ministro Carranza,F,30
439591,0h 16min 40seg,Padilla,Doblas,M,30
338284,1h 0min 22seg,Aime Paine,Aime Paine,F,30
25157,1h 11min 54seg,Carlos Calvo,Plaza Boedo,M,30
27701,0h 34min 11seg,Paraná,Armenia y Gorriti,M,30
482113,0h 10min 51seg,Malabia,Plaza Palermo Viejo,M,30
248426,0h 56min 30seg,Plaza Güemes,Plaza Güemes,F,30
395171,1h 9min 39seg,Ecuador,Pueyrredón,M,30
242113,0h 15min 35seg,Tribunales,Rincón,F,30
21107,0h 37min 6seg,Parque Patricios,Talcahuano,F,30
509717,0h 21min 58seg,F. J. Santamaría de Oro,Agüero,M,30
60677,0h 16min 1seg,Plaza Monseñor Miguel De Andrea,Guardia Vieja,M,29
556988,0h 12min 13seg,Congreso,Pasteur,F,27
432616,1h 0min 19seg,Godoy Cruz y Libertador,Godoy Cruz y Libertador,F,50
278644,0h 19min 20seg,Posadas,Billinghurst,M,30
53150,0h 16min 46seg,Plaza Vicente López,Arenales y Aguero,M,24
228037,0h 17min 2seg,Once II,Hospital Ramos Mejía,F,38
277450,0h 30min 50seg,Acuña de Figueroa,Ecuador,M,22
506694,1h 6min 52seg,Brasil,Pinzon y M. Rodriguez,M,25
219631,0h 9min 45seg,Lima,Sarandí,M,34
33085,0h 24min 40seg,Cementerio de la Recoleta,Araoz,F,43
4751,0h 10min 7seg,Montevideo,Della Paolera,M,56
499573,0h 17min 12seg,Diagonal Norte,Peña,M,32
568501,0h 15min 7seg,Parque Las Heras,Plaza Monseñor Miguel De Andrea,M,20